,valid/loss,valid/acc,valid/acc_cls,valid/mean_iu,valid/fwavacc,elapsed_time
0,348244.19883,0.784261535834,0.142857142857,0.112037362262,0.615066156588,0:03:44.022655
361,74740.72338,0.85635240974,0.456434109155,0.346001673973,0.776503024549,0:28:33.790117
722,69966.4183283,0.861884760426,0.500932773626,0.377967202479,0.791454845809,0:53:17.602759
1083,60681.3897167,0.882187209707,0.504837258291,0.415647217529,0.807927987,1:19:46.503062
1444,64416.8234631,0.873061846745,0.625973382769,0.455951530781,0.812254292737,1:49:30.981650
1805,60174.0234703,0.882385620924,0.59660300564,0.460795049167,0.819510731321,2:18:02.634757
2166,60572.3770379,0.880458119467,0.607726211062,0.460899166731,0.817794231213,2:46:37.069504
2527,55410.618989,0.891698459222,0.572721719069,0.461877540424,0.824522760058,3:15:11.835474
2888,56136.9225534,0.891017912775,0.614794163926,0.482861275049,0.825938993451,3:43:43.136358
3249,55186.7705948,0.894413679383,0.586181362969,0.479206229979,0.826538945765,4:10:25.592426
3610,58716.4356404,0.884469241628,0.652762455566,0.486389726857,0.824887104756,4:33:37.857526
3971,55628.8054809,0.893795568334,0.619644430349,0.490184623912,0.829795202866,5:01:52.833106
4332,55225.1835849,0.893947065356,0.621718104969,0.491076314609,0.830244411888,5:30:33.833156
4693,56360.705023,0.893433235751,0.636132086941,0.495904998387,0.831886090225,5:58:46.290363
5054,56464.7284052,0.892841873942,0.642287485365,0.497460147952,0.832419296458,6:27:10.183441
5415,57003.0070154,0.893138246796,0.640262549387,0.498290589603,0.832199490764,6:53:52.889698
5776,56710.1912522,0.893752947302,0.638960045456,0.498009747894,0.832231812996,7:22:20.036397
6137,56682.134846,0.893839548662,0.65055300779,0.50128194818,0.833320768971,7:45:19.048616
6498,57555.6776775,0.892576835649,0.648254757809,0.497281072276,0.832545218416,8:11:50.891099
6859,58585.1708036,0.889815922199,0.663440190595,0.499083867841,0.831417050479,8:36:29.511287
7220,56172.3695957,0.897957443286,0.634701819656,0.504439354571,0.835382650815,8:59:41.997860
7581,57994.3520724,0.893008455469,0.664685358841,0.505436974198,0.833608819515,9:27:11.347975
7942,58005.9876152,0.896918586791,0.639382146977,0.503100854201,0.835009970304,9:53:17.784019
8303,59833.0061126,0.894919737624,0.647581478308,0.505612788691,0.835401044841,10:18:16.016175
8664,60290.3522184,0.89433855824,0.657530102029,0.506148960511,0.834687962069,10:44:19.744993
9025,60709.1299477,0.894598411523,0.662105563246,0.508748575709,0.835606481274,11:12:09.175486
9386,60130.9123195,0.89645235103,0.639039811721,0.503341170503,0.835335137525,11:38:33.324465
9747,57629.2119018,0.899021376042,0.618245917381,0.500570511762,0.835231361756,12:02:08.387213
